,HCC44_LUNG,OACP4C_OESOPHAGUS
GO:0022400,0.50903,-0.10508
GO:0022402,-0.48567,-0.43835
GO:0022408,-0.35767,-0.26396
GO:0022409,-0.41338,-0.56174
GO:0022411,-0.26128,-0.0074818
GO:0022412,-0.40066,-0.37859
GO:0022602,0.54922,0.54922
GO:0022603,0.30345,-0.21931
GO:0022604,-0.45174,-0.13778
GO:0022607,-0.14397,-0.14476
GO:0022617,0.43432,0.44126
GO:0022618,-0.3063,-1.3316
GO:0022898,-0.34305,-0.36158
GO:0022900,-0.47363,-0.37002
GO:0022904,0.53046,0.45183
GO:0023057,0.18579,0.34147
GO:0023058,0.63015,0.63015
GO:0023061,0.63979,0.29969
GO:0030001,-0.67225,-0.80941
GO:0030010,-0.46613,-0.45095
GO:0030031,0.49681,-0.22402
GO:0030036,0.2085,0.48349
GO:0030071,-0.27354,0.64952
GO:0030073,0.53149,0.51323
GO:0030097,-0.2864,0.020128
GO:0030098,0.56497,-0.065594
GO:0030099,0.43557,0.10861
GO:0030101,0.6695,0.6695
GO:0030104,-0.46303,-0.34317
GO:0030155,-0.89207,0.42107
GO:0030162,-0.24478,-0.55354
GO:0030163,-0.0090792,0.85212
GO:0030168,0.3626,-0.30777
GO:0030182,0.10489,0.15596
GO:0030183,-0.97916,-0.78149
GO:0030194,-0.74365,-0.66036
GO:0030195,-0.59341,-0.59341
GO:0030198,-0.34044,-0.33203
GO:0030212,-0.67009,-0.67009
GO:0030217,-0.78557,-1.0084
GO:0030218,0.43766,0.17614
GO:0030225,-0.54852,-0.54852
GO:0030258,0.51231,0.7476
GO:0030278,0.58433,1.0033
GO:0030282,-0.47268,-0.47268
GO:0030301,-0.56656,-0.35609
GO:0030307,0.63675,0.35262
GO:0030308,-0.45229,-0.35027
GO:0030316,0.4247,0.12232
GO:0030324,0.26121,1.1693
GO:0030334,-0.21509,-0.33674
GO:0030335,0.4957,-0.065718
GO:0030336,0.57817,1.0427
GO:0030449,-0.75304,-0.69927
GO:0030501,0.57056,-0.27318
GO:0030509,0.30252,0.35071
GO:0030512,0.68656,0.92027
GO:0030513,-0.55688,-0.43954
GO:0030514,-0.55222,0.4377
GO:0030521,0.4489,0.35359
GO:0030522,-0.55885,-0.54145
GO:0030534,0.30023,0.32872
GO:0030539,-0.50194,-0.50194
GO:0030574,0.37755,0.37755
GO:0030593,-0.48828,-0.48828
GO:0030595,0.51761,0.78297
GO:0030728,0.60639,0.60639
GO:0030832,0.49797,0.61071
GO:0030838,-0.44105,-0.44105
GO:0030850,-0.65761,-0.65761
GO:0030855,-0.50372,-0.47171
GO:0030856,0.30913,0.42593
GO:0030857,0.26234,0.26234
GO:0030865,0.84286,0.84286
GO:0030879,0.080197,-0.75769
GO:0030890,-0.45843,-0.5623
GO:0030900,0.0055313,-0.18199
GO:0030949,-0.54616,-0.54616
GO:0031000,-0.42418,-0.38934
GO:0031018,0.51286,0.51286
GO:0031032,0.20216,0.14925
GO:0031047,-0.47024,-0.47024
GO:0031057,-0.56069,-0.56069
GO:0031062,0.64112,0.64112
GO:0031063,-0.60307,-0.60307
GO:0031099,0.67411,0.45609
GO:0031103,-0.43441,-0.40122
GO:0031111,-0.42584,0.21332
GO:0031116,-0.57635,-0.56342
GO:0031128,-0.40116,-0.43668
GO:0031145,0.50388,0.50388
GO:0031146,0.54246,0.54246
GO:0031175,0.16262,-0.096347
GO:0031281,-0.49426,-0.49426
GO:0031293,0.0005827,-0.45129
GO:0031295,-0.20523,-0.26746
GO:0031327,-0.28303,-0.30257
GO:0031328,-0.22557,-0.17178
GO:0031329,-0.56717,-0.50042
GO:0031330,-0.29086,-0.16173
GO:0031331,-0.52377,0.68674
GO:0031334,0.41812,-0.30624
GO:0031345,0.093504,-0.15418
GO:0031347,0.06843,-0.51843
GO:0031349,0.31488,0.99369
GO:0031365,0.58189,0.68596
GO:0031397,-0.59063,-0.59063
GO:0031398,-0.45507,-0.44736
GO:0031400,-0.40256,-0.40304
GO:0031503,0.46826,0.18083
GO:0031532,0.55033,0.35917
GO:0031571,0.35059,0.18709
GO:0031572,0.4179,0.4179
GO:0031623,0.34327,0.55412
GO:0031638,0.76975,0.76975
GO:0031641,0.39911,0.39911
GO:0031644,-0.54709,0.065266
GO:0031645,-0.44393,-0.44393
GO:0031647,-0.41926,0.90069
GO:0031648,0.54164,0.46898
GO:0031663,-0.41478,-0.41478
GO:0031667,-0.11906,-0.73
GO:0031669,0.52353,0.50279
GO:0031954,-0.4474,-0.4474
GO:0031998,-0.76697,-0.76697
GO:0032007,-0.45465,-0.76627
GO:0032026,0.56744,0.56744
GO:0032088,0.50232,0.50232
GO:0032091,0.5637,0.79477
GO:0032092,-0.50323,-0.75574
GO:0032094,-0.41558,-0.41558
GO:0032101,0.56917,0.034197
GO:0032102,-0.30055,-0.17589
GO:0032103,0.18577,-0.86301
GO:0032147,-0.13398,0.23681
GO:0032148,-0.26888,-0.5228
GO:0032205,0.57521,0.22182
GO:0032212,0.0048448,-0.32521
GO:0032228,-0.42469,-0.94589
GO:0032259,0.60972,0.46466
GO:0032269,-0.12455,-0.29605
GO:0032305,-0.46169,-0.46354
GO:0032330,0.55392,0.93052
GO:0032350,0.35356,0.30495
GO:0032354,0.55771,0.55782
GO:0032355,0.47604,0.65584
GO:0032365,0.54925,0.54925
GO:0032369,0.4824,0.60895
GO:0032376,0.78316,0.75327
GO:0032386,-0.54218,-0.58679
GO:0032387,0.46672,0.55466
GO:0032410,0.25485,0.25485
GO:0032411,-0.52358,-0.5257
GO:0032435,-0.48003,-0.48003
GO:0032436,-0.47767,-0.16176
GO:0032460,0.39601,0.6437
GO:0032461,-0.5331,-0.5331
GO:0032462,-0.44146,0.38461
GO:0032467,0.33011,0.3349
GO:0032469,-0.46185,-0.46185
GO:0032495,0.87357,0.87357
GO:0032496,-0.24343,-0.11739
GO:0032508,-0.69058,-0.3261
GO:0032515,-0.42298,-0.42298
GO:0032516,-0.47981,-0.47981
GO:0032570,-0.6129,-0.6129
GO:0032651,0.55778,0.55778
GO:0032656,0.49763,0.49754
GO:0032674,-0.5214,-0.50972
GO:0032675,0.38721,0.38721
GO:0032682,0.47387,0.47387
GO:0032689,0.51951,0.51951
GO:0032692,0.48147,0.48147
GO:0032715,-0.48158,-0.48158
GO:0032720,-0.62802,-0.62802
GO:0032722,0.12181,0.12181
GO:0032727,0.49143,0.1469
GO:0032728,-0.74319,0.44304
GO:0032729,-0.40985,-0.40985
GO:0032733,-0.62204,-0.62204
GO:0032735,0.3638,0.3638
GO:0032740,-0.46772,-0.46772
GO:0032753,-0.43837,-0.43837
GO:0032757,-0.37226,-0.22897
GO:0032760,-0.60215,-0.60215
GO:0032787,0.38516,0.66686
GO:0032793,0.48082,0.48082
GO:0032869,-0.16667,-0.26931
GO:0032870,0.025631,-0.22624
GO:0032872,-1.2235,0.1462
GO:0032891,-0.53642,-0.53593
GO:0032922,0.64636,0.64636
GO:0032924,-0.65912,0.38788
GO:0032930,0.45271,0.45271
GO:0032940,0.32837,0.36522
GO:0032945,-0.1637,-0.46182
GO:0032967,-0.39996,-0.33527
GO:0032970,-0.27426,-0.40353
GO:0033003,-0.64446,-0.64446
GO:0033014,0.45749,0.45749
GO:0033033,-0.40203,-0.40203
GO:0033043,-0.92287,0.080385
GO:0033044,-0.94502,-1.1978
GO:0033081,0.46837,0.48496
GO:0033138,-0.54599,-0.68313
GO:0033146,-0.48649,-0.43769
GO:0033189,-0.63031,-0.2248
GO:0033209,0.51556,0.51556
GO:0033273,-0.13319,-0.37278
GO:0033280,0.54846,0.54846
GO:0033365,-0.65926,-0.27396
GO:0033500,0.60404,0.32592
GO:0033554,-0.15373,-0.1349
GO:0033574,0.5342,0.76905
GO:0033604,0.51911,0.51911
GO:0033627,-0.28626,-0.52784
GO:0033628,-0.55265,-0.84947
GO:0033688,0.49555,0.49555
GO:0033692,-0.59653,-0.62614
GO:0033993,0.10844,0.39542
GO:0034030,-0.52753,-0.52753
GO:0034033,0.42318,0.42318
GO:0034097,-0.48345,-0.64391
GO:0034104,0.50017,0.50017
GO:0034105,-0.76256,-1.0318
GO:0034110,-0.43345,-0.43345
GO:0034113,0.47277,0.47277
GO:0034114,-0.57589,-0.57589
GO:0034122,-0.52101,-0.52101
GO:0034123,0.4611,0.60916
GO:0034142,-0.7815,-0.7815
GO:0034162,-0.51809,-0.51809
GO:0034198,0.39862,0.39862
GO:0034220,-0.10233,-0.44509
GO:0034260,-0.43003,-0.43003
GO:0034312,0.52827,0.52827
GO:0034330,-0.36539,-0.55466
GO:0034333,-0.47953,-0.46487
GO:0034369,-0.50472,-0.292
GO:0034377,0.455,0.82809
GO:0034383,-0.41158,-0.4775
GO:0034391,0.44758,0.38413
GO:0034401,-0.76745,-0.76745
GO:0034405,0.51093,0.51093
GO:0034440,-0.43302,-0.43302
GO:0034446,0.45727,0.45727
GO:0034502,0.40242,-0.29238
GO:0034599,0.71746,0.4526
GO:0034605,0.43332,0.3228
GO:0034613,-0.4161,-1.3788
GO:0034614,-0.22345,-0.19689
GO:0034620,0.70527,0.14381
GO:0034622,-0.5733,-0.82085
GO:0034644,-0.34753,-0.85909
GO:0034645,0.49016,0.58204
GO:0034654,-0.062764,0.1849
GO:0034655,0.42702,0.61149
GO:0034656,-0.35929,-0.10878
GO:0034754,-1.1625,-0.2742
GO:0034762,-0.18276,-0.32717
GO:0034765,-0.46157,-0.36155
GO:0034976,0.3244,0.62707
GO:0035019,-0.47705,-0.47705
GO:0035023,0.50633,0.61385
GO:0035050,-0.48361,-0.30177
GO:0035066,0.45946,0.45946
GO:0035094,0.61171,0.61171
GO:0035107,-0.45848,-0.46694
GO:0035108,-0.56678,-0.90739
GO:0035162,-0.50815,-0.50815
GO:0035176,-0.50861,0.14867
GO:0035235,-0.60776,-0.89379
GO:0035239,-0.57039,-0.98192
GO:0035264,0.65075,0.4863
GO:0035272,0.42985,0.27741
GO:0035295,0.21104,-0.044558
GO:0035306,-0.45869,-0.42571
GO:0035329,-0.49151,-0.49151
GO:0035335,0.65224,0.65224
GO:0035383,0.50365,0.50365
GO:0035384,-0.51965,-0.51965
GO:0035404,-0.49972,-0.49972
GO:0035418,-0.66523,-0.55334
GO:0035556,-0.29987,0.053244
GO:0035584,-0.42882,-0.43305
GO:0035589,0.47263,0.47263
GO:0035601,0.35441,0.32933
GO:0035637,0.54622,0.27386
GO:0035640,-0.49504,-0.55226
GO:0035666,0.48579,0.48579
GO:0035690,0.38134,0.53466
GO:0035722,0.40719,0.40719
GO:0035723,-0.50547,-0.50547
GO:0035725,0.48178,0.44669
GO:0035729,-0.63076,-0.63076
GO:0035774,0.40623,0.40623
GO:0035809,-0.47269,-0.47269
GO:0035813,0.73619,0.73619
GO:0035864,-0.35543,-0.37339
GO:0035902,-0.44282,-0.61668
GO:0035904,0.52071,0.52071
GO:0035966,0.26067,0.46102
GO:0035967,-0.35795,-0.18169
GO:0035970,-0.61451,-0.61451
GO:0035987,1.2147,0.64684
GO:0035994,0.48779,0.48196
GO:0036003,0.57961,0.41405
GO:0036148,-0.47168,-0.47168
GO:0036151,0.42317,0.42317
GO:0036152,-0.4135,-0.4135
GO:0036230,0.45405,0.47951
GO:0036473,-0.4617,-0.4617
GO:0036498,-0.60591,-0.60591
GO:0038061,-0.52834,-0.52834
GO:0038083,0.44579,0.65528
GO:0038084,1.0111,0.27562
GO:0038095,-0.51607,-0.51607
GO:0038096,-0.56163,0.5047
GO:0038110,-0.53034,-0.53034
GO:0038128,0.59521,0.33354
GO:0040008,0.40265,0.22842
GO:0040011,0.37936,0.00054646
GO:0040012,0.42681,-0.11666
GO:0040018,0.32892,0.32892
GO:0040019,-0.68874,-0.68874
GO:0040020,-0.44175,-0.44175
GO:0040029,0.31701,0.40722
GO:0042035,0.32824,0.32824
GO:0042036,-0.48854,-0.48854
GO:0042053,-0.42943,-0.42943
GO:0042059,0.42521,0.42521
GO:0042060,0.32172,-0.35251
GO:0042088,-0.47334,-0.47334
GO:0042093,-0.45869,-0.45869
GO:0042098,0.87595,0.47299
GO:0042100,0.50225,0.55036
GO:0042102,-0.57452,-0.0031158
GO:0042104,0.45701,0.36697
GO:0042110,-0.49847,-0.51604
GO:0042119,0.74901,0.2136
GO:0042127,-0.22848,-0.19111
GO:0042130,0.78068,0.61931
GO:0042135,-0.51021,-0.50374
GO:0042136,0.39129,0.33646
GO:0042149,0.54707,0.54707
GO:0042157,-0.052964,0.8084
GO:0042176,-0.20242,-0.53615
GO:0042177,-0.80707,-0.80707
GO:0042220,-0.78541,-0.47982
GO:0042254,-0.7604,-1.0508
GO:0042304,-0.50161,-0.50161
GO:0042307,-0.40453,-0.40453
GO:0042310,0.56784,0.45501
GO:0042311,0.30108,0.30108
GO:0042359,-0.3916,-0.48634
GO:0042391,-0.135,-0.25686
GO:0042398,0.47629,0.47629
GO:0042402,0.71876,0.71876
GO:0042417,0.40969,0.40969
GO:0042423,-0.37586,-0.37586
GO:0042445,-0.098174,-0.58659
GO:0042446,-3.083,-0.40754
GO:0042447,-0.94163,-0.42136
GO:0042461,0.56685,0.56685
GO:0042472,0.16857,0.16857
GO:0042475,0.39342,0.39342
GO:0042493,-0.095499,-0.098688
GO:0042531,-0.69765,-0.56716
GO:0042534,0.56442,0.56442
GO:0042537,-0.40872,-0.40872
GO:0042572,0.51076,0.51076
GO:0042573,-0.49158,-0.49158
GO:0042593,1.0087,0.11961
GO:0042632,0.36465,0.41717
GO:0042633,0.40637,0.35824
GO:0042733,-0.49113,-0.49113
GO:0042737,-0.54116,-0.30038
GO:0042742,-0.26918,-0.32901
GO:0042743,-0.47608,-0.47608
GO:0042752,0.67559,0.67559
GO:0042755,1.1761,0.49452
GO:0042759,-0.36641,-0.36641
GO:0042762,-0.57857,-0.57857
GO:0042771,0.5889,0.50917
GO:0042832,-0.78048,-0.5829
GO:0042981,-0.21896,-0.31005
GO:0043009,-0.64012,-0.56583
GO:0043010,-0.48255,1.4812
GO:0043029,0.92583,0.50194
GO:0043032,0.65535,0.65535
GO:0043038,-0.42501,-0.4246
GO:0043043,0.42843,-0.59073
GO:0043044,-0.4149,-0.4149
GO:0043065,0.11922,-0.16859
GO:0043066,0.25045,-0.029224
GO:0043085,-0.26144,-0.3161
GO:0043086,0.42303,0.46577
GO:0043101,0.39514,0.39514
GO:0043113,-0.64265,-1.1226
GO:0043114,0.51281,0.51281
GO:0043123,-0.54519,-0.73652
GO:0043124,-0.5735,-1.0265
GO:0043154,-0.57506,-0.57506
GO:0043174,0.43804,0.43804
GO:0043244,-0.48528,-0.49299
GO:0043252,0.64522,0.64522
GO:0043254,0.27602,1.2416
GO:0043269,-0.26996,-0.11571
GO:0043270,0.16448,0.95176
GO:0043277,-0.45378,-0.45378
GO:0043278,0.46975,0.55907
GO:0043279,-0.29528,-0.4367
GO:0043281,0.2292,-0.39309
GO:0043302,0.57299,0.57299
GO:0043303,-0.45593,-0.45593
GO:0043304,-0.73171,-0.73171
GO:0043312,0.14071,0.12469
GO:0043330,0.5109,0.35587
GO:0043367,0.45436,0.45436
GO:0043368,0.57579,0.77211
GO:0043370,-0.63353,-0.63353
GO:0043392,0.62417,0.56886
GO:0043393,0.77714,0.98626
GO:0043401,-0.29485,-0.25499
GO:0043403,-0.63504,-0.63504
GO:0043406,0.71582,0.29448
GO:0043407,0.57386,0.57386
GO:0043408,-0.14496,-0.40879
GO:0043409,-0.44413,-0.44413
GO:0043410,0.1549,-0.10444
GO:0043413,-0.46964,-0.33621
GO:0043434,1.007,0.56187
GO:0043457,0.35288,0.077926
GO:0043462,-0.62507,-0.62507
GO:0043467,-0.36782,0.9424
GO:0043470,0.63069,0.099778
GO:0043473,0.56987,0.31914
GO:0043484,0.48448,0.54243
GO:0043488,-0.66809,-0.67257
GO:0043491,-0.30404,-0.30404
GO:0043500,0.66641,0.66641
GO:0043506,0.33715,0.57445
GO:0043516,0.51881,0.80225
GO:0043523,-0.45032,-0.82835
GO:0043524,-0.24672,-0.97561
GO:0043525,-0.45892,-0.45892
GO:0043534,-0.48453,-0.3798
GO:0043537,-0.54697,-0.57156
GO:0043543,0.39644,0.36374
GO:0043547,0.34972,0.52579
GO:0043552,0.44348,0.48113
GO:0043567,0.70869,0.70869
GO:0043576,0.62778,0.10594
GO:0043583,0.43552,-0.060497
GO:0043588,0.26206,-0.42675
GO:0043603,0.35989,-0.014035
GO:0043604,-0.35986,0.51483
GO:0043620,-0.4079,-0.49661
GO:0043624,-0.39098,-0.39098
GO:0043627,0.45984,0.78766
GO:0043647,0.32683,1.6153
GO:0043651,-0.50142,-0.45963
GO:0043687,0.342,1.0829
GO:0043900,0.039645,0.31612
GO:0043901,-0.96432,-0.33042
GO:0043902,-0.97479,-1.2781
GO:0043903,-0.5142,-0.69489
GO:0043921,0.55375,0.55256
GO:0043933,0.16391,0.00096893
GO:0043950,-0.48056,-0.49559
GO:0043951,0.46548,0.46548
GO:0043954,0.43642,0.43642
GO:0043966,0.47416,0.47416
GO:0043967,-0.46686,-0.44183
GO:0044030,0.40667,0.40667
GO:0044057,-0.17241,0.24676
GO:0044058,-1.5218,-0.65349
GO:0044060,-0.54518,-0.48582
GO:0044068,0.45088,0.54491
GO:0044087,0.11617,-0.53186
GO:0044088,-0.52388,-0.52388
GO:0044089,-0.65436,0.70011
GO:0044092,-0.33551,0.42113
GO:0044093,-0.2421,-0.2841
GO:0044242,0.32798,0.36203
GO:0044247,0.062984,-0.43951
GO:0044248,-0.53172,-0.038841
GO:0044249,0.24815,0.15681
GO:0044255,0.34509,-0.48098
GO:0044257,-0.51836,-0.20401
GO:0044262,-0.2551,-0.39319
GO:0044265,0.36726,0.67706
GO:0044271,-0.57319,-0.51165
GO:0044272,-0.46075,-0.46075
GO:0044273,-0.5778,-0.5778
GO:0044282,-0.023945,0.070411
GO:0044283,0.25664,0.2029
GO:0044320,-0.45896,-0.17659
GO:0044409,0.76328,-0.14695
GO:0044703,-0.095594,-0.32992
GO:0044772,0.10889,0.58636
GO:0044773,0.58375,0.62205
GO:0044782,0.60975,0.30056
GO:0044783,-0.68121,-0.097971
GO:0044819,-0.4958,-0.51779
GO:0045055,-0.074442,-0.73217
GO:0045061,-0.44256,-0.53925
GO:0045070,-0.39548,-0.39548
GO:0045071,0.45052,0.45052
GO:0045086,0.51191,0.51191
GO:0045087,0.32807,0.026766
GO:0045088,0.80557,0.3339
GO:0045124,0.41525,0.34209
GO:0045165,-0.36888,-0.60381
GO:0045185,0.60191,0.60191
GO:0045187,0.4199,0.4199
GO:0045321,-0.45834,-0.48695
GO:0045408,-0.50212,-0.50212
GO:0045429,0.59374,0.24986
GO:0045444,0.43353,0.50106
GO:0045445,-0.53033,-0.55068
GO:0045446,0.49261,1.1675
GO:0045453,-0.57281,-0.57281
GO:0045454,-0.57006,-0.57006
GO:0045471,-0.37852,1.0737
GO:0045540,-0.6237,-0.35489
GO:0045576,-0.6096,-0.6096
GO:0045577,0.57684,0.57684
GO:0045581,-0.5721,-0.5721
GO:0045589,-0.3329,-0.3329
GO:0045596,-0.14429,-0.22026
GO:0045597,0.8023,0.6851
GO:0045599,-0.42467,-0.42467
GO:0045600,-0.65269,-0.65269
GO:0045601,-0.52233,-0.52233
GO:0045606,-0.5561,-0.5561
GO:0045616,-0.54656,-0.54656
GO:0045621,0.47346,0.51424
GO:0045624,0.44452,0.44452
GO:0045637,0.4044,0.63524
GO:0045639,0.39968,0.58418
GO:0045648,-0.45142,-0.45142
GO:0045649,0.51747,0.23274
GO:0045652,0.44337,0.99329
GO:0045661,0.63791,0.63666
GO:0045664,-0.48964,0.39651
GO:0045665,-0.075332,0.073848
GO:0045668,-0.46985,-0.32771
GO:0045669,0.4618,0.43114
GO:0045672,-0.52265,-0.52265
GO:0045686,0.41336,0.22298
GO:0045722,0.48129,0.48129
GO:0045727,0.47276,0.87125
GO:0045732,-0.82223,-1.1532
GO:0045736,0.58136,0.58136
GO:0045737,0.82337,0.48999
GO:0045739,0.42433,0.42433
GO:0045740,0.53859,0.46248
GO:0045742,0.47225,0.47225
GO:0045745,0.4498,0.4498
GO:0045746,-0.44688,-0.44688
GO:0045747,-0.65768,-0.91342
GO:0045765,-0.35875,-0.30838
GO:0045766,0.70014,0.67044
GO:0045773,-0.38349,-0.53627
GO:0045776,0.69114,0.50699
GO:0045777,0.67531,0.67531
GO:0045785,-0.63955,1.4283
GO:0045786,-0.56668,-0.52267
GO:0045787,-0.54432,-0.44623
GO:0045806,-0.59142,-0.1888
GO:0045815,0.45588,0.47186
GO:0045821,-0.47972,-0.47972
GO:0045822,0.45162,0.45162
GO:0045824,-0.14133,-0.5787
GO:0045830,-0.45239,-0.70229
GO:0045834,0.63157,0.40926
GO:0045839,-0.52552,-0.2391
GO:0045840,-0.48198,-0.31025
GO:0045844,-0.38831,-0.34035
GO:0045860,-0.31688,-0.45675
GO:0045861,-1.9675,-0.86573
GO:0045862,0.58471,0.70771
GO:0045892,0.38827,0.12966
GO:0045893,0.73365,0.22232
GO:0045907,0.4737,0.4737
GO:0045913,-0.52979,-0.033997
GO:0045921,-0.6888,-0.6888
GO:0045923,0.44436,0.44436
GO:0045926,-0.30227,-0.98851
GO:0045927,-0.44685,0.033807
GO:0045930,0.50001,-0.17711
GO:0045931,0.55411,-0.085364
GO:0045934,0.66852,-0.49974
GO:0045935,1.5823,-0.1784
GO:0045936,0.15631,-0.050299
GO:0045937,-0.35228,-0.21385
GO:0045944,-0.58995,-0.22536
GO:0045987,-0.45803,-0.54015
GO:0046058,-0.56395,-0.56395
GO:0046112,-0.58308,-0.56721
GO:0046129,0.53325,0.53325
GO:0046134,0.44729,0.39049
GO:0046135,0.4389,0.594
GO:0046164,0.33797,0.41914
GO:0046165,0.1465,0.33251
GO:0046209,0.73335,0.73335
GO:0046326,-0.58523,-0.58523
GO:0046329,0.55515,0.55515
GO:0046330,-0.01849,-0.31708
GO:0046364,0.40269,0.40269
GO:0046394,-0.22214,-0.7117
GO:0046395,-0.4275,0.41236
GO:0046457,-0.56025,-0.56025
GO:0046461,-0.47582,-0.53709
GO:0046467,0.36947,0.36947
GO:0046474,-0.19786,-0.5561
GO:0046475,0.39264,0.39264
GO:0046486,-1.5884,-1.4219
GO:0046513,-0.4894,-0.4894
GO:0046514,-0.4681,-0.50805
GO:0046545,0.53316,0.53316
GO:0046579,0.45842,1.2813
GO:0046580,-0.44231,-0.82715
GO:0046605,0.46024,0.46024
GO:0046621,0.41435,0.41435
GO:0046622,0.31618,0.37937
GO:0046627,0.37896,0.37896
GO:0046628,-0.45822,-0.45822
GO:0046638,-0.52594,-0.52594
GO:0046641,0.435,0.435
GO:0046649,-0.8552,-1.1556
GO:0046661,-0.55342,-0.58569
GO:0046676,-0.4619,-0.48929
GO:0046677,-0.93277,0.47198
GO:0046683,-0.30279,-0.14414
GO:0046688,0.21007,0.71514
GO:0046697,-0.66426,-0.66426
GO:0046718,0.50912,0.77026
GO:0046777,0.46883,0.09354
GO:0046827,0.49136,0.49136
GO:0046835,-0.64658,-0.67731
GO:0046854,-0.38647,-0.38647
GO:0046879,0.49752,0.47505
GO:0046886,-0.41635,-0.41635
GO:0046887,-0.38659,-0.52437
GO:0046888,-0.51315,-0.50166
GO:0046890,0.41818,0.83612
GO:0046903,-0.21425,-0.21914
GO:0046907,0.36208,0.53639
GO:0046939,0.59423,0.31302
GO:0046942,0.39944,0.45698
GO:0046949,-0.38333,-0.38333
GO:0047496,0.53941,0.53941
GO:0048008,0.73315,0.73315
GO:0048010,0.40394,0.36163
GO:0048011,-0.47094,-0.47094
GO:0048013,-0.67165,-0.92672
GO:0048143,0.46668,0.46668
GO:0048146,-0.51599,-0.32331
GO:0048167,0.29031,0.77444
GO:0048169,0.48605,0.29132
GO:0048208,0.4687,0.4687
GO:0048255,-0.574,-0.574
GO:0048259,-0.45547,-1.5336
GO:0048265,-0.96848,-0.41154
GO:0048286,0.48622,0.48622
GO:0048333,0.63678,0.9597
GO:0048468,0.019444,-0.056667
GO:0048469,-0.34151,-1.2417
GO:0048489,-0.44676,-0.44676
GO:0048511,-0.73405,-0.56812
GO:0048512,-0.19793,-0.19793
GO:0048513,0.27986,0.43847
GO:0048520,-1.1897,-0.46121
GO:0048536,0.46499,0.46499
GO:0048538,0.57637,0.53992
GO:0048545,-0.20881,-0.66778
GO:0048546,0.36236,0.36236
GO:0048562,-0.46509,-0.18037
GO:0048566,-0.6631,-0.6631
GO:0048568,-0.13565,-0.60301
GO:0048585,-0.18648,-0.22081
GO:0048589,0.53159,0.55899
GO:0048598,-0.71639,-0.060284
GO:0048599,0.45013,0.45013
GO:0048608,0.3996,0.21511
GO:0048609,0.13817,0.28473
GO:0048634,0.47291,1.0057
GO:0048638,0.13439,-0.19826
GO:0048639,0.015142,0.16428
GO:0048641,-0.47788,-0.72672
GO:0048644,-0.41029,-0.55359
GO:0048645,0.59675,0.59675
